title,kicker,image,link
Loterj suspends state-licensed betting operations outside Rio de Janeiro following Supreme Court ruling,TERRITORIAL RESTRICTIONS ON ACCREDITED OPERATORS,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/01/07/71230/1736253224-andre-mendonca-ministro-supremo-tribunal-federal-brasil-02.jpg,https://www.yogonet.com/international/news/2025/02/17/95428-loterj-suspends-statelicensed-betting-operations-outside-rio-de-janeiro-following-supreme-court-ruling
IGT announces nine-year contract extension with Tennessee Education Lottery,WILL RUN THROUGH JUNE 2036,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/01/22/71886/1737576403-ice-barcelona-2025-2-70-stand-igt.jpg,https://www.yogonet.com/international/news/2025/02/19/95442-igt-announces-nineyear-contract-extension-with-tennessee-education-lottery
Challenges when applying for a Curacao gaming license and how to overcome them,"BY RON MENDELSON, FAST OFFSHORE",https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/02/70575/1733154590-vista-curazao-02.jpg,https://www.yogonet.com/international/news/2025/02/19/95569-challenges-when-applying-for-a-curacao-gaming-license-and-how-to-overcome-them
World Series of Poker announces full schedule for 2025 summer series,FROM MAY 27 TO JULY 16,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/18/72645/1739884000-world-series-poker-reveals-full-summer-2025-series-schedule.jpg,https://www.yogonet.com/international/news/2025/02/18/95529-world-series-of-poker-announces-full-schedule-for-2025-summer-series
Ransomware attack disrupts Sault Tribe's casinos in Michigan,STEALS 119 GB OF DATA,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/17/72613/1739799970-casino-maquina-generica.jpg,https://www.yogonet.com/international/news/2025/02/18/95553-ransomware-attack-disrupts-sault-tribe-39s-casinos-in-michigan
1xBet shortlisted in three categories at SiGMA Eurasia Awards 2025,RESULTS TO BE ANNOUNCED ON FEB 23,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/18/72670/1739888927-1x-bet-sigma-eurasia-nominations-2025.jpg,https://www.yogonet.com/international/news/2025/02/19/95536-1xbet-shortlisted-in-three-categories-at-sigma-eurasia-awards-2025
Pennsylvania sets state Super Bowl betting record with $101.5 million in wagers,A 20.4% INCREASE FROM LAST YEAR’S HIGH,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/12/72502/1739368453-super-bowl-lix.jpg,https://www.yogonet.com/international/news/2025/02/18/95546-pennsylvania-sets-state-super-bowl-betting-record-with-1015-million-in-wagers
Calls for legalizing basketball betting in Hong Kong resurface amid budget discussions,COULD GENERATE MORE THAN $128M IN TAXES,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/10/21/69209/1729534077-nba-jugadores-celtics-thunder.jpg,https://www.yogonet.com/international/news/2025/02/18/95532-calls-for-legalizing-basketball-betting-in-hong-kong-resurface-amid-budget-discussions
"Virginia’s casino revenue surges 36% in January, led by Caesars Virginia’s growth",INCREASED EARNINGS AS INDUSTRY EXPANDS,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/18/71025/1734531383-caesars-virginia-apertura-06.jpg,https://www.yogonet.com/international/news/2025/02/18/95542-virginias-casino-revenue-surges-36-in-january-led-by-caesars-virginias-growth
Casino Guru Awards 2025 announces final 10-day countdown to submit nominations ,WINDOW CLOSING ON FEBRUARY 28,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/18/72682/1739893880-casino-guru-awards-2025-10-days-to-go.jpg,https://www.yogonet.com/international/news/2025/02/19/95552-casino-guru-awards-2025-announces-final-10day-countdown-to-submit-nominations
